รหัสวิชา,ชื่อวิชา,หน่วยกิจ
01420113-65,"Laboratory in Physics I 
ปฏิบัติการฟิสิกส์ I",1(0-3-2)
03602211-65,"Materials Science for Engineers 
วัสดุศาสตร์สำหรับวิศวกร",3(3-0-6)
03603101-65,"Introduction to Computer Programming 
การโปรแกรมคอมพิวเตอร์เบื้องต้น",3(2-3-6)
03604111-65,"Engineering Drawing 
การเขียนแบบทางวิศวกรรม",3(3-0-6)
03601211-65,"Electric Circuit Analysis I 
การวิเคราะห์วงจรไฟฟ้า I",3(3-0-6)
03601212-65,"Electric Circuit Analysis II 
การวิเคราะห์วงจรไฟฟ้า II",3(3-0-6)
03601213-65,"Electric Circuit Laboratory 
ปฏิบัติการวงจรไฟฟ้า",1(0-3-2)
03601214-65,"Applied Linear Algebra in Electrical Engineering 
พีชคณิตเชิงเส้นประยุกต์ทางวิศวกรรมไฟฟ้า",3(3-0-6)
03601215-65,"Applied Probability for Electrical Engineers 
ความน่าจะเป็นประยุกต์สำหรับวิศวกรไฟฟ้า",3(3-0-6)
03601221-65,"Communication Technology and Smart Grid 
เทคโนโลยีการสื่อสารและโครงข่ายไฟฟ้าอัจฉริยะ",3(3-0-6)
03601231-65,"Electronic Circuits and Systems I 
วงจรและระบบอิเล็กทรอนิกส์ I",3(3-0-6)
03601232-65,"Digital Circuits and Logic Design 
การออกแบบวงจรดิจิทัลและตรรกะ",3(3-0-6)
03601241-65,"Electromagnetic Fields and Waves 
สนามแม่เหล็กไฟฟ้าและคลื่น",3(3-0-6)
03601251-65,"Electromechanical Energy Conversion I 
การแปลงผันพลังงานเครื่องกลไฟฟา I",3(3-0-6)
03601252-65,"Electromechanical Energy Conversion Laboratory I 
ปฏิบัติการการแปลงผันพลังงานเครื่องกลไฟฟา I",1(0-3-2)
03601271-65,"Practice in Electrical Engineering 
การปฏิบัติงานทางวิศวกรรมไฟฟ้า",1(0-3-2)
03601311-65,"Signals and Systems 
สูญญาณและระบบ",3(3-0-6)
03601331-65,"Electronics Laboratory 
ปฏิบัติการอิเล็กทรอนิกส์",1(0-3-2)
03601332-65,"Microprocessors 
ไมโครโพรเซสเซอร์",3(3-0-6)
03601353-65,"Electrical System Design 
การออกแบบระบบไฟฟ้า",3(3-0-6)
03601361-65,"Electrical Instruments and Measurements I 
เครื่องมือวัดและการวัดทางไฟฟ้า I",3(3-0-6)
03601371-65,"Internship Preparation 
การเตรียมความพร้อมก่อนฝึกงาน",1(0-3-2)
03601458-65,"Electrical Power Generation, Transmission and Distribution 
การผลิต สูง และจำหน่ายกำลังไฟฟ้า",3(3-0-6)
03601459-65,Safety in Electrical Engineering,3(3-0-6)
03601473-65,"Power Electronics 
อิเล็กทรอนิกส์กำลัง",3(3-0-6)
03601477-65,"Renewable Energy 
พลังงานหมุนเวียน",3(3-0-6)
03601495-65,"Electrical and Electronics Engineering Project I 
โครงงานวิศวกรรมไฟฟ้าและอิเล็กทรอนิกส์ I",1(0-3-2)
03601497-65,"Seminar 
สัมมนา",1
03601499-65,"Electrical and Electronics Engineering Project II 
โครงงานวิศวกรรมไฟฟ้าและอิเล็กทรอนิกส์ II",2(0-6-3)
03602301-65,"Basic Principles of Production Management 
หลักพื้นฐานการจัดการผลิต",3(3-0-6)
03604223-65,"Basic Principles of Engineering Mechanics 
หลักพื้นฐานทางกลศาสตร์วิศวกรรม",3(3-0-6)
03604281-65,"Workshop Practice 
การฝึกงานโรงงาน",1(0-3-2)
03600490-65,Cooperative Education,6
03601314-65,"Digital Signal Processing 
การประมวลสัญญาณดิจิทัล",3(3-0-6)
03601315-65,"Digital Signal Processing Laboratory 
ปฏิบัติการประมวลสัญญาณดิจิทัล",1(0-3-2)
03601321-65,"Principles of Communications 
หลักการสื่อสาร",3(3-0-6)
03601323-65,"Communication Laboratory 
ปฏิบัติการไฟฟ้าสื่สาร",1(0-3-2)
03601333-65,"Microprocessors Laboratory 
ปฏิบัติการไมโครโพรเซสเซอร์",1(0-3-2)
03601334-65,"Electronic Circuits and Systems II 
วงจรและระบบอิเล็กทรอนิกส์ II",3(3-0-6)
03601335-65,"Advanced Electronics Laboratory 
ปฏิบัติการอิเล็กทรอนิกส์ขั้นสูง",1(0-3-2)
03601336-65,"Design and Application of Electronic Circuits 
การออกแบบและประยุกต์วงจรอิเล็กทรอนิกส์",3(3-0-6)
03601351-65,"Electromechanical Energy Conversion II 
การแปลงผันพลังงานเครื่องกลไฟฟ้า II",3(3-0-6)
03601352-65,"Electromechanical Energy Conversion Laboratory II 
ปฏิบัติการการแปลงผันพลังงานเครื่องกลไฟฟ้า II",1(0-3-2)
03601355-65,"High-Voltage Engineering 
วิศวกรรมไฟฟ้าแรงสูง",3(3-0-6)
03601356-65,"Illumination Engineering 
วิศวกรรมการส่องสว่าง",3(3-0-6)
03601357-65,"Electrical Power System 
ระบบไฟฟ้ากำลัง",3(3-0-6)
03601358-65,"High-Voltage Engineering Laboratory 
ปฏิบัติการวิศวกรรมไฟฟ้าแรงสูง",3(3-0-6)
03601363-65,"Control and Measurement Laboratory 
ปฏิบัติการการควบคุมและการวัด",1(0-3-2)
03601364-65,"Industrial Automation Systems 
ระบบอัตโนมัติทางอุตสาหกรรม",3(3-0-6)
03601365-65,"Industrial Automation Systems Laboratory 
ปฏิบัติการระบบอัตโนมัติทางอุตสาหกรรม",1(0-3-2)
03601382-65,"Application Programs for Electrical Engineers 
โปรแกรมประยุกต์สำหรับวิศวกรไฟฟ้า",3(3-0-6)
03601432-65,"Analog Integrated Circuit Application Designs 
การออกแบบประยุกต์วงจรรวมแอนะล็อก",3(3-0-6)
03601433-65,"Industrial Electronics 
อิเล็กทรอนิกส์อุตสาหกรรม",3(3-0-6)
03601434-65,"Computer Aided Electronic System Development 
การพัฒนาระบบอิเล็กทรอนิกส์โดยใช้คอมพิวเตอร์ช่วย",3(3-0-6)
03601451-65,"Basic Power System Reliability 
ความเชื่อถือได้เบื่องตนของระบบกำลัง",3(3-0-6)
03601452-65,"Electric Power Plants 
โรงจักรไฟฟ้ากำลัง",3(3-0-6)
03601454-65,"Electric Power Systems Analysis Laboratory 
ปฏิบัติการการวิเคราะห์ระบบไฟฟ้า",1(0-3-2)
03601456-65,"Power System Protection 
การป้องกันระบบไฟฟ้ากำลัง",3(3-0-6)
