รหัสวิชา,ชื่อวิชา,หน่วยกิจ
01203470-65,"Freight Transportation Planning and Logistics
การวางแผนการขนส่งสินค้าและโลจิสติกส์",3(3-0-6)
01203473-65,"Traffic Engineering 
วิศวกรรมจราจร",3(3-0-6)
01203474-65,"Urban Transportation Planning 
การวางแผนการขนส่งเขตเมือง",3(3-0-6)
01203475-65,"Urban Mass Transportation Planning 
การวางแผนการขนส่งมวลชนเขตเมือง",3(3-0-6)
01203476-65,"Airport Planning and Design 
การวางแผนและการออกแบบสนามบิน",3(3-0-6)
01203477-65,"Pavement Structures 
โครงสร้างพื้นผิวทาง",3(3-0-6)
01203478-65,"Traffic Design and Operation 
การออกแบบและการดำเนินงานการจราจร",3(2-3-6)
01203479-65,"Computer Applications in Transport Engineering 
การประยุกต์คอมพิวเตอร์ในงานวิศวกรรมขนส่ง",3(3-0-6)
01203481-65,"Sanitary Engineering and Water Supply 
วิศวกรรมสุขภิบาลและการประปา",3(3-0-6)
01203490-65,"Co-operative 
สหกิจศึกษา",6
01203496-65,"Selected Topics in Civil Engineering 
เรื่องเฉพาะทางวิศวกรรมโยธา",45352
01200434-65,"Rail Infrastructure 
โครงสร้างพื้นฐานระบบราง",3(3-0-6)
01200435-65,"Rail System Operation and Maintenance 
การปฏิบัติการและการซ่อมบำรุงระบบราง",3(3-0-6)
03606421-65,"Advanced Concrete Technology 
เทคโนโลยีคอนกรีตขั้นสูง",3(3-0-6)
03606461-65,"Applications of Building Information Modeling in Construction 
การประยุกต์แบบจำลองสารสนเทศอาคารในงานก่อสร้าง",3(2-3-6)
03606481-65,"Coastal Engineering 
วิศวกรรมชายฝั่งทะเล",3(3-0-6)
01355111-55,"Foundation English I
ภาษาอังกฤษ 1 (ไม่นับหน่วยกิต)",3(3-0-6)
01355112-55,"Foundation English II
ภาษาอังกฤษ 2",3(3-0-6)
01355113-55,"Foundation English III
ภาษาอังกฤษ 3",3(3-0-6)
01175xxx-55,"กิจกรรมพลศึกษา
กิจกรรมพลศึกษา",1(0-2-1)
03603111-55,"Programming Fundamentals I
หลักการโปรแกรมเบื้องต้น I",3(2-3-6)
03603352-55,"Laws and Ethics in Information Technology
กฎหมายและจริยธรรมทางเทคโนโลยีสารสนเทศ",3(3-0-6)
03603225-55,"Web Technology Laboratory
ปฏิบัติการเทคโนโลยีเว็บ",1(0-3-2)
03603251-55,"Database Systems
ระบบฐานข้อมูล",3(3-0-6)
